COMUNA,Votos_der,Votos,p_derecha
Cauquenes,6374,15128,0.421337916
Chanco,1470,3660,0.401639344
Colbun,1645,7511,0.219012116
Linares,14006,32531,0.430543174
Longavi,3949,9570,0.412643678
Parral,7103,15664,0.453460163
Pelluhue,1082,3242,0.333744602
Retiro,3286,7001,0.46936152
San Javier,5233,14836,0.352723106
Villa Alegre,1903,5539,0.34356382
Yerbas Buenas,1825,5904,0.309112466
