COMUNA,Votos_der,Votos,p_derecha
Cauquenes,5774,16430,0.35143031
Chanco,2867,5789,0.495249611
Colbun,4470,9459,0.47256581
Linares,11353,24964,0.454774876
Longavi,6722,14136,0.475523486
Parral,11047,16747,0.659640533
Pelluhue,2579,4868,0.52978636
Retiro,4666,8840,0.527828054
San Javier,6350,14809,0.428793301
Villa Alegre,2071,6967,0.297258504
Yerbas Buenas,2299,6774,0.339385887
