COMUNA,RANGO_EDAD,rango_edad3,n,vote,participacion2017,n2020,vote2020_proy2017,participacion2020_proy2017
San Javier,75-79,3,1208,666,0.551324503,1372,756,0.551020408
San Javier,80 o +,3,1762,503,0.285471056,1995,570,0.285714286
Villa Alegre,18 a 19,1,363,110,0.303030303,409,124,0.303178484
Villa Alegre,20-24,1,1104,325,0.294384058,982,289,0.294297352
Villa Alegre,25-29,1,1113,412,0.37017071,1186,439,0.370151771
Villa Alegre,30-34,1,1090,409,0.375229358,1129,424,0.375553587
Villa Alegre,35-39,2,991,408,0.411705348,1066,439,0.411819887
Villa Alegre,40-44,2,1071,524,0.489262372,979,479,0.48927477
Villa Alegre,45-49,2,1346,672,0.499257058,1206,602,0.499170813
Villa Alegre,50-54,2,1294,683,0.527820711,1367,722,0.528163862
Villa Alegre,55-59,2,1109,649,0.585211903,1276,747,0.585423197
Villa Alegre,60-64,2,983,617,0.627670397,1010,634,0.627722772
Villa Alegre,65-69,3,781,503,0.644046095,902,581,0.644124169
Villa Alegre,70-74,3,632,401,0.634493671,697,442,0.634146341
Villa Alegre,75-79,3,495,288,0.581818182,519,302,0.581888247
Villa Alegre,80 o +,3,697,233,0.334289813,781,261,0.33418694
Yerbas Buenas,18 a 19,1,474,107,0.225738397,453,102,0.225165563
Yerbas Buenas,20-24,1,1269,342,0.269503546,1215,327,0.269135802
Yerbas Buenas,25-29,1,1302,394,0.302611367,1293,391,0.302397525
Yerbas Buenas,30-34,1,1162,405,0.348537005,1320,460,0.348484848
Yerbas Buenas,35-39,2,1146,438,0.382198953,1163,444,0.381771281
Yerbas Buenas,40-44,2,1258,575,0.457074722,1157,529,0.45721694
Yerbas Buenas,45-49,2,1377,751,0.545388526,1321,720,0.545041635
Yerbas Buenas,50-54,2,1466,874,0.596180082,1528,911,0.596204188
Yerbas Buenas,55-59,2,1172,684,0.583617747,1339,781,0.583271098
Yerbas Buenas,60-64,2,995,665,0.668341709,1070,715,0.668224299
Yerbas Buenas,65-69,3,775,522,0.673548387,898,605,0.673719376
Yerbas Buenas,70-74,3,630,398,0.631746032,675,426,0.631111111
Yerbas Buenas,75-79,3,435,251,0.577011494,503,290,0.576540755
Yerbas Buenas,80 o +,3,534,161,0.301498127,610,184,0.301639344
