COMUNA,Pacto,Partido,Lista,Indepdentientes,n_votos,perc_votos
Linares,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,213,0.006637582
Linares,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,8958,0.279152384
Longavi,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,144,0.014967259
Longavi,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,75,0.007795447
Longavi,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,Izquierda2,,203,0.021099678
Longavi,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,221,0.022970585
Longavi,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,91,0.009458476
Longavi,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,2897,0.301112151
Longavi,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,615,0.063922669
Longavi,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,173,0.017981499
Longavi,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,141,0.014655441
Longavi,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,657,0.06828812
Longavi,SUMEMOS,INDEPENDIENTES,Derecha1,,83,0.008626962
Longavi,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,1290,0.134081696
Longavi,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,415,0.043134809
Longavi,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,753,0.078266292
Longavi,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,120,0.012472716
Longavi,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,66,0.006859994
Longavi,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,1677,0.174306205
Parral,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,286,0.018512525
Parral,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,85,0.005501974
Parral,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,Izquierda2,,257,0.016635381
Parral,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,191,0.01236326
Parral,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,160,0.010356657
Parral,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,405,0.026215289
Parral,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,164,0.010615574
Parral,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,42,0.002718623
Parral,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,3315,0.214576995
Parral,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,441,0.028545537
Parral,SUMEMOS,INDEPENDIENTES,Derecha1,,79,0.0051136
Parral,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,188,0.012169072
Parral,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,679,0.043951065
Parral,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,1970,0.127516344
Parral,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,187,0.012104343
Parral,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,117,0.007573306
Parral,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,6883,0.445530455
Pelluhue,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,73,0.021994577
Pelluhue,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,85,0.025610124
Pelluhue,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,120,0.036155469
Pelluhue,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,230,0.069297981
Pelluhue,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,612,0.184392889
Pelluhue,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,477,0.143717987
Pelluhue,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,729,0.219644471
Pelluhue,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,993,0.299186502
Retiro,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,80,0.011392766
Retiro,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,42,0.005981202
Retiro,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,Izquierda2,,93,0.01324409
Retiro,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,97,0.013813728
Retiro,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,54,0.007690117
Retiro,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,189,0.026915409
Retiro,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,54,0.007690117
Retiro,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,25,0.003560239
Retiro,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,301,0.042865281
Retiro,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,196,0.027912276
Retiro,SUMEMOS,INDEPENDIENTES,Derecha1,,42,0.005981202
Retiro,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,66,0.009399032
Retiro,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,274,0.039020222
Retiro,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,4506,0.641697522
Retiro,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,60,0.008544574
Retiro,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,44,0.006266021
Retiro,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,899,0.128026203
San Javier,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,333,0.022944946
San Javier,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,371,0.025563288
San Javier,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,Izquierda2,,395,0.027216978
San Javier,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,278,0.01915524
San Javier,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,290,0.019982085
San Javier,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,592,0.040791015
San Javier,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,417,0.02873286
San Javier,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,431,0.029697513
San Javier,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,393,0.02707917
San Javier,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,1843,0.126989596
San Javier,SUMEMOS,INDEPENDIENTES,Derecha1,,165,0.011369117
San Javier,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,273,0.018810721
San Javier,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,627,0.043202646
San Javier,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,6143,0.423275684
San Javier,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,233,0.016054572
San Javier,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,162,0.011162406
San Javier,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,1567,0.107972163
Villa Alegre,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,122,0.022505073
Villa Alegre,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,405,0.074709463
Villa Alegre,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,Izquierda2,,119,0.021951669
Villa Alegre,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,99,0.018262313
Villa Alegre,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,78,0.014388489
Villa Alegre,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,461,0.085039661
Villa Alegre,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,122,0.022505073
Villa Alegre,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,178,0.03283527
Villa Alegre,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,121,0.022320605
Villa Alegre,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,432,0.079690094
Villa Alegre,SUMEMOS,INDEPENDIENTES,Concertacion3,1,303,0.055893747
Villa Alegre,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,65,0.011990408
Villa Alegre,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,243,0.044825678
Villa Alegre,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,866,0.159749124
Villa Alegre,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,117,0.021582734
Villa Alegre,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,63,0.011621472
Villa Alegre,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,1627,0.300129127
Yerbas Buenas,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,81,0.014045431
Yerbas Buenas,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,69,0.011964626
Yerbas Buenas,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,Izquierda2,,126,0.021848448
Yerbas Buenas,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,131,0.02271545
Yerbas Buenas,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,81,0.014045431
Yerbas Buenas,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,510,0.088434195
Yerbas Buenas,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,162,0.028090862
Yerbas Buenas,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,413,0.071614358
Yerbas Buenas,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,110,0.019074042
Yerbas Buenas,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,794,0.137679903
Yerbas Buenas,SUMEMOS,INDEPENDIENTES,Derecha1,,72,0.012484827
Yerbas Buenas,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,96,0.016646437
Yerbas Buenas,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,1309,0.226981099
Yerbas Buenas,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,496,0.086006589
Yerbas Buenas,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,90,0.015606034
Yerbas Buenas,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,52,0.00901682
Yerbas Buenas,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,1175,0.203745448
